code,K,T,call
10000098,2.8,20150325,510050P1503M02800
10000099,2.8,20150422,510050C1504M02800
10000100,2.8,20150422,510050P1504M02800
10000101,2.8,20150624,510050C1506M02800
10000102,2.8,20150624,510050P1506M02800
10000103,2.8,20150923,510050C1509M02800
10000104,2.8,20150923,510050P1509M02800
10000105,2.5,20150527,510050C1505M02500
10000106,2.55,20150527,510050C1505M02550
10000107,2.6,20150527,510050C1505M02600
10000108,2.65,20150527,510050C1505M02650
10000109,2.7,20150527,510050C1505M02700
10000110,2.5,20150527,510050P1505M02500
10000111,2.55,20150527,510050P1505M02550
10000112,2.6,20150527,510050P1505M02600
10000113,2.65,20150527,510050P1505M02650
10000114,2.7,20150527,510050P1505M02700
10000115,2.75,20150527,510050C1505M02750
10000116,2.75,20150527,510050P1505M02750
10000117,2.85,20150422,510050C1504M02850
10000118,2.85,20150422,510050P1504M02850
10000119,2.8,20150527,510050C1505M02800
10000120,2.85,20150527,510050C1505M02850
10000121,2.8,20150527,510050P1505M02800
10000122,2.85,20150527,510050P1505M02850
10000123,2.85,20150624,510050C1506M02850
10000124,2.85,20150624,510050P1506M02850
10000125,2.85,20150923,510050C1509M02850
10000126,2.85,20150923,510050P1509M02850
10000127,2.9,20150422,510050C1504M02900
10000128,2.95,20150422,510050C1504M02950
10000129,2.9,20150422,510050P1504M02900
10000130,2.95,20150422,510050P1504M02950
10000131,2.9,20150527,510050C1505M02900
10000132,2.95,20150527,510050C1505M02950
10000133,2.9,20150527,510050P1505M02900
10000134,2.95,20150527,510050P1505M02950
10000135,2.9,20150624,510050C1506M02900
10000136,2.95,20150624,510050C1506M02950
10000137,2.9,20150624,510050P1506M02900
10000138,2.95,20150624,510050P1506M02950
10000139,2.9,20150923,510050C1509M02900
10000140,2.95,20150923,510050C1509M02950
10000141,2.9,20150923,510050P1509M02900
10000142,2.95,20150923,510050P1509M02950
10000143,3,20150422,510050C1504M03000
10000144,3,20150422,510050P1504M03000
10000145,3,20150527,510050C1505M03000
10000146,3,20150527,510050P1505M03000
10000147,3,20150624,510050C1506M03000
10000148,3,20150624,510050P1506M03000
10000149,3,20150923,510050C1509M03000
10000150,3,20150923,510050P1509M03000
10000151,3.1,20150422,510050C1504M03100
10000152,3.1,20150422,510050P1504M03100
10000153,3.1,20150527,510050C1505M03100
10000154,3.1,20150527,510050P1505M03100
10000155,3.1,20150624,510050C1506M03100
10000156,3.1,20150624,510050P1506M03100
10000157,3.1,20150923,510050C1509M03100
10000158,3.1,20150923,510050P1509M03100
10000159,3.2,20150422,510050C1504M03200
10000160,3.2,20150422,510050P1504M03200
10000161,3.2,20150527,510050C1505M03200
10000162,3.2,20150527,510050P1505M03200
10000163,3.2,20150624,510050C1506M03200
10000164,3.2,20150624,510050P1506M03200
10000165,3.2,20150923,510050C1509M03200
10000166,3.2,20150923,510050P1509M03200
10000167,3.3,20150422,510050C1504M03300
10000168,3.3,20150422,510050P1504M03300
10000169,3.3,20150527,510050C1505M03300
10000170,3.3,20150527,510050P1505M03300
10000171,3.3,20150624,510050C1506M03300
10000172,3.3,20150624,510050P1506M03300
10000173,3.3,20150923,510050C1509M03300
10000174,3.3,20150923,510050P1509M03300
10000175,3.4,20150422,510050C1504M03400
10000176,3.4,20150422,510050P1504M03400
10000177,3.4,20150527,510050C1505M03400
10000178,3.4,20150527,510050P1505M03400
10000179,3.4,20150624,510050C1506M03400
10000180,3.4,20150624,510050P1506M03400
10000181,3.4,20150923,510050C1509M03400
10000182,3.4,20150923,510050P1509M03400
10000183,3,20151223,510050C1512M03000
10000184,3.1,20151223,510050C1512M03100
10000185,3.2,20151223,510050C1512M03200
10000186,3.3,20151223,510050C1512M03300
10000187,3.4,20151223,510050C1512M03400
10000188,3,20151223,510050P1512M03000
10000189,3.1,20151223,510050P1512M03100
10000190,3.2,20151223,510050P1512M03200
10000191,3.3,20151223,510050P1512M03300
10000192,3.4,20151223,510050P1512M03400
10000193,3.5,20150527,510050C1505M03500
10000194,3.5,20150527,510050P1505M03500
10000195,3.5,20150624,510050C1506M03500
10000196,3.5,20150624,510050P1506M03500
10000197,3.5,20150923,510050C1509M03500
10000198,3.5,20150923,510050P1509M03500
10000199,3.5,20151223,510050C1512M03500
10000200,3.5,20151223,510050P1512M03500
10000201,2.95,20151223,510050C1512M02950
10000202,2.95,20151223,510050P1512M02950
10000203,2.9,20151223,510050C1512M02900
10000204,2.9,20151223,510050P1512M02900
10000205,2.85,20151223,510050C1512M02850
10000206,2.85,20151223,510050P1512M02850
10000207,3.1,20150722,510050C1507M03100
10000208,3.2,20150722,510050C1507M03200
10000209,3.3,20150722,510050C1507M03300
10000210,3.4,20150722,510050C1507M03400
10000211,3.5,20150722,510050C1507M03500
10000212,3.1,20150722,510050P1507M03100
10000213,3.2,20150722,510050P1507M03200
10000214,3.3,20150722,510050P1507M03300
10000215,3.4,20150722,510050P1507M03400
10000216,3.5,20150722,510050P1507M03500
10000217,2.95,20150722,510050C1507M02950
10000218,3,20150722,510050C1507M03000
10000219,2.95,20150722,510050P1507M02950
10000220,3,20150722,510050P1507M03000
10000221,3.6,20150624,510050C1506M03600
10000222,3.6,20150624,510050P1506M03600
10000223,3.6,20150722,510050C1507M03600
10000224,3.6,20150722,510050P1507M03600
10000225,3.6,20150923,510050C1509M03600
10000226,3.6,20150923,510050P1509M03600
10000227,3.6,20151223,510050C1512M03600
10000228,3.6,20151223,510050P1512M03600
10000229,2.9,20150722,510050C1507M02900
10000230,2.9,20150722,510050P1507M02900
10000231,2.75,20150722,510050C1507M02750
10000232,2.8,20150722,510050C1507M02800
10000233,2.85,20150722,510050C1507M02850
10000234,2.75,20150722,510050P1507M02750
10000235,2.8,20150722,510050P1507M02800
10000236,2.85,20150722,510050P1507M02850
10000237,2.75,20151223,510050C1512M02750
10000238,2.8,20151223,510050C1512M02800
10000239,2.75,20151223,510050P1512M02750
10000240,2.8,20151223,510050P1512M02800
10000241,2.9,20150826,510050C1508M02900
10000242,2.95,20150826,510050C1508M02950
10000243,3,20150826,510050C1508M03000
10000244,3.1,20150826,510050C1508M03100
10000245,3.2,20150826,510050C1508M03200
10000246,2.9,20150826,510050P1508M02900
10000247,2.95,20150826,510050P1508M02950
10000248,3,20150826,510050P1508M03000
10000249,3.1,20150826,510050P1508M03100
10000250,3.2,20150826,510050P1508M03200
10000251,2.8,20150826,510050C1508M02800
10000252,2.85,20150826,510050C1508M02850
10000253,2.8,20150826,510050P1508M02800
10000254,2.85,20150826,510050P1508M02850
10000255,2.6,20150722,510050C1507M02600
10000256,2.65,20150722,510050C1507M02650
10000257,2.7,20150722,510050C1507M02700
10000258,2.6,20150722,510050P1507M02600
10000259,2.65,20150722,510050P1507M02650
10000260,2.7,20150722,510050P1507M02700
10000261,2.6,20150826,510050C1508M02600
10000262,2.65,20150826,510050C1508M02650
10000263,2.7,20150826,510050C1508M02700
10000264,2.75,20150826,510050C1508M02750
10000265,2.6,20150826,510050P1508M02600
10000266,2.65,20150826,510050P1508M02650
10000267,2.7,20150826,510050P1508M02700
10000268,2.75,20150826,510050P1508M02750
10000269,2.6,20151223,510050C1512M02600
10000270,2.65,20151223,510050C1512M02650
10000271,2.7,20151223,510050C1512M02700
10000272,2.6,20151223,510050P1512M02600
10000273,2.65,20151223,510050P1512M02650
10000274,2.7,20151223,510050P1512M02700
10000275,2.55,20150722,510050C1507M02550
10000276,2.55,20150722,510050P1507M02550
10000277,2.55,20150826,510050C1508M02550
10000278,2.55,20150826,510050P1508M02550
10000279,2.55,20151223,510050C1512M02550
10000280,2.55,20151223,510050P1512M02550
10000281,2.5,20150722,510050C1507M02500
10000282,2.5,20150722,510050P1507M02500
10000283,2.5,20150826,510050C1508M02500
10000284,2.5,20150826,510050P1508M02500
10000285,2.5,20151223,510050C1512M02500
10000286,2.5,20151223,510050P1512M02500
10000287,2.65,20160323,510050C1603M02650
10000288,2.7,20160323,510050C1603M02700
10000289,2.75,20160323,510050C1603M02750
10000290,2.8,20160323,510050C1603M02800
10000291,2.85,20160323,510050C1603M02850
10000292,2.65,20160323,510050P1603M02650
10000293,2.7,20160323,510050P1603M02700
10000294,2.75,20160323,510050P1603M02750
10000295,2.8,20160323,510050P1603M02800
10000296,2.85,20160323,510050P1603M02850
10000297,2.9,20160323,510050C1603M02900
10000298,2.9,20160323,510050P1603M02900
10000299,2.4,20150826,510050C1508M02400
10000300,2.45,20150826,510050C1508M02450
10000301,2.4,20150826,510050P1508M02400
10000302,2.45,20150826,510050P1508M02450
10000303,2.4,20151223,510050C1512M02400
10000304,2.45,20151223,510050C1512M02450
10000305,2.4,20151223,510050P1512M02400
10000306,2.45,20151223,510050P1512M02450
10000307,2.4,20160323,510050C1603M02400
10000308,2.45,20160323,510050C1603M02450
10000309,2.5,20160323,510050C1603M02500
10000310,2.55,20160323,510050C1603M02550
10000311,2.6,20160323,510050C1603M02600
10000312,2.4,20160323,510050P1603M02400
10000313,2.45,20160323,510050P1603M02450
10000314,2.5,20160323,510050P1603M02500
10000315,2.55,20160323,510050P1603M02550
10000316,2.6,20160323,510050P1603M02600
10000317,2.35,20150826,510050C1508M02350
10000318,2.35,20150826,510050P1508M02350
10000319,2.35,20151223,510050C1512M02350
10000320,2.35,20151223,510050P1512M02350
10000321,2.35,20160323,510050C1603M02350
10000322,2.35,20160323,510050P1603M02350
10000323,2.3,20150826,510050C1508M02300
10000324,2.3,20150826,510050P1508M02300
10000325,2.3,20151223,510050C1512M02300
10000326,2.3,20151223,510050P1512M02300
10000327,2.3,20160323,510050C1603M02300
10000328,2.3,20160323,510050P1603M02300
10000329,2.25,20150826,510050C1508M02250
10000330,2.25,20150826,510050P1508M02250
10000331,2.25,20151223,510050C1512M02250
10000332,2.25,20151223,510050P1512M02250
10000333,2.25,20160323,510050C1603M02250
10000334,2.25,20160323,510050P1603M02250
10000335,2.15,20150826,510050C1508M02150
10000336,2.2,20150826,510050C1508M02200
10000337,2.15,20150826,510050P1508M02150
10000338,2.2,20150826,510050P1508M02200
10000339,2.15,20150923,510050C1509M02150
10000340,2.15,20150923,510050P1509M02150
10000341,2.15,20151223,510050C1512M02150
10000342,2.2,20151223,510050C1512M02200
10000343,2.15,20151223,510050P1512M02150
10000344,2.2,20151223,510050P1512M02200
10000345,2.15,20160323,510050C1603M02150
10000346,2.2,20160323,510050C1603M02200
10000347,2.15,20160323,510050P1603M02150
10000348,2.2,20160323,510050P1603M02200
10000349,1.95,20150826,510050C1508M01950
10000350,2,20150826,510050C1508M02000
10000351,2.05,20150826,510050C1508M02050
10000352,2.1,20150826,510050C1508M02100
10000353,1.95,20150826,510050P1508M01950
10000354,2,20150826,510050P1508M02000
10000355,2.05,20150826,510050P1508M02050
10000356,2.1,20150826,510050P1508M02100
10000357,1.95,20150923,510050C1509M01950
10000358,2,20150923,510050C1509M02000
10000359,2.05,20150923,510050C1509M02050
10000360,2.1,20150923,510050C1509M02100
10000361,1.95,20150923,510050P1509M01950
10000362,2,20150923,510050P1509M02000
10000363,2.05,20150923,510050P1509M02050
10000364,2.1,20150923,510050P1509M02100
10000365,1.95,20151223,510050C1512M01950
10000366,2,20151223,510050C1512M02000
10000367,2.05,20151223,510050C1512M02050
10000368,2.1,20151223,510050C1512M02100
10000369,1.95,20151223,510050P1512M01950
10000370,2,20151223,510050P1512M02000
10000371,2.05,20151223,510050P1512M02050
10000372,2.1,20151223,510050P1512M02100
10000373,1.95,20160323,510050C1603M01950
10000374,2,20160323,510050C1603M02000
10000375,2.05,20160323,510050C1603M02050
10000376,2.1,20160323,510050C1603M02100
10000377,1.95,20160323,510050P1603M01950
10000378,2,20160323,510050P1603M02000
10000379,2.05,20160323,510050P1603M02050
10000380,2.1,20160323,510050P1603M02100
10000381,1.8,20150826,510050C1508M01800
10000382,1.85,20150826,510050C1508M01850
10000383,1.9,20150826,510050C1508M01900
10000384,1.8,20150826,510050P1508M01800
10000385,1.85,20150826,510050P1508M01850
10000386,1.9,20150826,510050P1508M01900
10000387,1.8,20150923,510050C1509M01800
10000388,1.85,20150923,510050C1509M01850
10000389,1.9,20150923,510050C1509M01900
10000390,1.8,20150923,510050P1509M01800
10000391,1.85,20150923,510050P1509M01850
10000392,1.9,20150923,510050P1509M01900
10000393,1.8,20151223,510050C1512M01800
10000394,1.85,20151223,510050C1512M01850
10000395,1.9,20151223,510050C1512M01900
10000396,1.8,20151223,510050P1512M01800
10000397,1.85,20151223,510050P1512M01850
10000398,1.9,20151223,510050P1512M01900
10000399,1.8,20160323,510050C1603M01800
10000400,1.85,20160323,510050C1603M01850
10000401,1.9,20160323,510050C1603M01900
10000402,1.8,20160323,510050P1603M01800
10000403,1.85,20160323,510050P1603M01850
10000404,1.9,20160323,510050P1603M01900
10000405,1.85,20151028,510050C1510M01850
10000406,1.9,20151028,510050C1510M01900
10000407,1.95,20151028,510050C1510M01950
10000408,2,20151028,510050C1510M02000
10000409,2.05,20151028,510050C1510M02050
10000410,1.85,20151028,510050P1510M01850
10000411,1.9,20151028,510050P1510M01900
10000412,1.95,20151028,510050P1510M01950
10000413,2,20151028,510050P1510M02000
10000414,2.05,20151028,510050P1510M02050
10000415,2.1,20151028,510050C1510M02100
10000416,2.15,20151028,510050C1510M02150
10000417,2.2,20151028,510050C1510M02200
10000418,2.1,20151028,510050P1510M02100
10000419,2.15,20151028,510050P1510M02150
10000420,2.2,20151028,510050P1510M02200
10000421,2.25,20151028,510050C1510M02250
10000422,2.25,20151028,510050P1510M02250
10000423,2.3,20151028,510050C1510M02300
10000424,2.3,20151028,510050P1510M02300
10000425,2.35,20151028,510050C1510M02350
10000426,2.35,20151028,510050P1510M02350
10000427,2.1,20151125,510050C1511M02100
10000428,2.15,20151125,510050C1511M02150
10000429,2.2,20151125,510050C1511M02200
10000430,2.25,20151125,510050C1511M02250
10000431,2.3,20151125,510050C1511M02300
10000432,2.1,20151125,510050P1511M02100
10000433,2.15,20151125,510050P1511M02150
10000434,2.2,20151125,510050P1511M02200
10000435,2.25,20151125,510050P1511M02250
10000436,2.3,20151125,510050P1511M02300
10000437,2.05,20151125,510050C1511M02050
10000438,2.05,20151125,510050P1511M02050
10000439,2.4,20151028,510050C1510M02400
10000440,2.4,20151028,510050P1510M02400
10000441,2.35,20151125,510050C1511M02350
10000442,2.4,20151125,510050C1511M02400
10000443,2.35,20151125,510050P1511M02350
10000444,2.4,20151125,510050P1511M02400
10000445,2.45,20151028,510050C1510M02450
10000446,2.45,20151028,510050P1510M02450
10000447,2.45,20151125,510050C1511M02450
10000448,2.45,20151125,510050P1511M02450
10000449,2.2,20160622,510050C1606M02200
10000450,2.25,20160622,510050C1606M02250
10000451,2.3,20160622,510050C1606M02300
10000452,2.35,20160622,510050C1606M02350
10000453,2.4,20160622,510050C1606M02400
10000454,2.2,20160622,510050P1606M02200
10000455,2.25,20160622,510050P1606M02250
10000456,2.3,20160622,510050P1606M02300
10000457,2.35,20160622,510050P1606M02350
10000458,2.4,20160622,510050P1606M02400
10000459,2.15,20160622,510050C1606M02150
10000460,2.15,20160622,510050P1606M02150
10000461,2.5,20151125,510050C1511M02500
10000462,2.5,20151125,510050P1511M02500
10000463,2.45,20160622,510050C1606M02450
10000464,2.5,20160622,510050C1606M02500
10000465,2.45,20160622,510050P1606M02450
10000466,2.5,20160622,510050P1606M02500
10000467,2.55,20151125,510050C1511M02550
10000468,2.55,20151125,510050P1511M02550
10000469,2.55,20160622,510050C1606M02550
10000470,2.55,20160622,510050P1606M02550
10000471,2.6,20151125,510050C1511M02600
10000472,2.6,20151125,510050P1511M02600
10000473,2.6,20160622,510050C1606M02600
10000474,2.6,20160622,510050P1606M02600
10000475,2.65,20151125,510050C1511M02650
10000476,2.65,20151125,510050P1511M02650
10000477,2.65,20160622,510050C1606M02650
10000478,2.65,20160622,510050P1606M02650
10000479,2.35,20160127,510050C1601M02350
10000480,2.4,20160127,510050C1601M02400
10000481,2.45,20160127,510050C1601M02450
10000482,2.5,20160127,510050C1601M02500
10000483,2.55,20160127,510050C1601M02550
10000484,2.35,20160127,510050P1601M02350
10000485,2.4,20160127,510050P1601M02400
10000486,2.45,20160127,510050P1601M02450
10000487,2.5,20160127,510050P1601M02500
10000488,2.55,20160127,510050P1601M02550
10000489,2.2,20160127,510050C1601M02200
10000490,2.25,20160127,510050C1601M02250
10000491,2.3,20160127,510050C1601M02300
10000492,2.2,20160127,510050P1601M02200
10000493,2.25,20160127,510050P1601M02250
10000494,2.3,20160127,510050P1601M02300
10000495,2.6,20160127,510050C1601M02600
10000496,2.6,20160127,510050P1601M02600
10000497,2.4,20160224,510050C1602M02400
10000498,2.45,20160224,510050C1602M02450
10000499,2.5,20160224,510050C1602M02500
10000500,2.55,20160224,510050C1602M02550
10000501,2.6,20160224,510050C1602M02600
10000502,2.4,20160224,510050P1602M02400
10000503,2.45,20160224,510050P1602M02450
10000504,2.5,20160224,510050P1602M02500
10000505,2.55,20160224,510050P1602M02550
10000506,2.6,20160224,510050P1602M02600
10000507,2.3,20160224,510050C1602M02300
10000508,2.35,20160224,510050C1602M02350
10000509,2.3,20160224,510050P1602M02300
10000510,2.35,20160224,510050P1602M02350
10000511,2.2,20160224,510050C1602M02200
10000512,2.25,20160224,510050C1602M02250
10000513,2.2,20160224,510050P1602M02200
10000514,2.25,20160224,510050P1602M02250
10000515,2.1,20160127,510050C1601M02100
10000516,2.15,20160127,510050C1601M02150
10000517,2.1,20160127,510050P1601M02100
10000518,2.15,20160127,510050P1601M02150
10000519,2.1,20160224,510050C1602M02100
10000520,2.15,20160224,510050C1602M02150
10000521,2.1,20160224,510050P1602M02100
10000522,2.15,20160224,510050P1602M02150
10000523,2.1,20160622,510050C1606M02100
10000524,2.1,20160622,510050P1606M02100
10000525,2.05,20160127,510050C1601M02050
10000526,2.05,20160127,510050P1601M02050
10000527,2.05,20160224,510050C1602M02050
10000528,2.05,20160224,510050P1602M02050
10000529,2.05,20160622,510050C1606M02050
10000530,2.05,20160622,510050P1606M02050
10000531,2,20160127,510050C1601M02000
10000532,2,20160127,510050P1601M02000
10000533,2,20160224,510050C1602M02000
10000534,2,20160224,510050P1602M02000
10000535,2,20160622,510050C1606M02000
10000536,2,20160622,510050P1606M02000
10000537,1.95,20160127,510050C1601M01950
10000538,1.95,20160127,510050P1601M01950
10000539,1.95,20160224,510050C1602M01950
10000540,1.95,20160224,510050P1602M01950
10000541,1.95,20160622,510050C1606M01950
10000542,1.95,20160622,510050P1606M01950
10000543,1.85,20160127,510050C1601M01850
10000544,1.9,20160127,510050C1601M01900
10000545,1.85,20160127,510050P1601M01850
10000546,1.9,20160127,510050P1601M01900
10000547,1.85,20160224,510050C1602M01850
10000548,1.9,20160224,510050C1602M01900
10000549,1.85,20160224,510050P1602M01850
10000550,1.9,20160224,510050P1602M01900
10000551,1.85,20160622,510050C1606M01850
10000552,1.9,20160622,510050C1606M01900
10000553,1.85,20160622,510050P1606M01850
10000554,1.9,20160622,510050P1606M01900
10000555,1.85,20160928,510050C1609M01850
10000556,1.9,20160928,510050C1609M01900
10000557,1.95,20160928,510050C1609M01950
10000558,2,20160928,510050C1609M02000
10000559,2.05,20160928,510050C1609M02050
10000560,1.85,20160928,510050P1609M01850
10000561,1.9,20160928,510050P1609M01900
10000562,1.95,20160928,510050P1609M01950
10000563,2,20160928,510050P1609M02000
10000564,2.05,20160928,510050P1609M02050
10000565,1.8,20160224,510050C1602M01800
10000566,1.8,20160224,510050P1602M01800
10000567,1.8,20160622,510050C1606M01800
10000568,1.8,20160622,510050P1606M01800
10000569,1.8,20160928,510050C1609M01800
10000570,1.8,20160928,510050P1609M01800
10000571,2.1,20160928,510050C1609M02100
10000572,2.1,20160928,510050P1609M02100
10000573,2.15,20160928,510050C1609M02150
10000574,2.15,20160928,510050P1609M02150
10000575,1.95,20160427,510050C1604M01950
10000576,2,20160427,510050C1604M02000
10000577,2.05,20160427,510050C1604M02050
10000578,2.1,20160427,510050C1604M02100
10000579,2.15,20160427,510050C1604M02150
10000580,1.95,20160427,510050P1604M01950
10000581,2,20160427,510050P1604M02000
10000582,2.05,20160427,510050P1604M02050
10000583,2.1,20160427,510050P1604M02100
10000584,2.15,20160427,510050P1604M02150
10000585,1.85,20160427,510050C1604M01850
10000586,1.9,20160427,510050C1604M01900
10000587,1.85,20160427,510050P1604M01850
10000588,1.9,20160427,510050P1604M01900
10000589,2.2,20160427,510050C1604M02200
10000590,2.2,20160427,510050P1604M02200
10000591,2.2,20160928,510050C1609M02200
10000592,2.2,20160928,510050P1609M02200
10000593,2.25,20160427,510050C1604M02250
10000594,2.25,20160427,510050P1604M02250
10000595,2.25,20160928,510050C1609M02250
10000596,2.25,20160928,510050P1609M02250
10000597,2.3,20160427,510050C1604M02300
10000598,2.3,20160427,510050P1604M02300
10000599,2.3,20160928,510050C1609M02300
10000600,2.3,20160928,510050P1609M02300
10000601,2.05,20160525,510050C1605M02050
10000602,2.1,20160525,510050C1605M02100
10000603,2.15,20160525,510050C1605M02150
10000604,2.2,20160525,510050C1605M02200
10000605,2.25,20160525,510050C1605M02250
10000606,2.05,20160525,510050P1605M02050
10000607,2.1,20160525,510050P1605M02100
10000608,2.15,20160525,510050P1605M02150
10000609,2.2,20160525,510050P1605M02200
10000610,2.25,20160525,510050P1605M02250
10000611,2,20160525,510050C1605M02000
10000612,2,20160525,510050P1605M02000
10000613,2.3,20160525,510050C1605M02300
10000614,2.3,20160525,510050P1605M02300
